cls_loss,epoch,step,val_acc
0.857045590877533,0,49,
0.4481295049190521,0,99,
0.39463427662849426,0,149,
0.31935039162635803,0,199,
,0,234,0.9212999939918518
0.3037680387496948,1,249,
0.2687699794769287,1,299,
0.2368878573179245,1,349,
0.1916123926639557,1,399,
0.25615429878234863,1,449,
,1,469,0.9401999711990356
0.2593953311443329,2,499,
0.1249871477484703,2,549,
0.14494441449642181,2,599,
0.17390130460262299,2,649,
0.32286596298217773,2,699,
,2,704,0.9528999924659729
0.14331099390983582,3,749,
0.16242533922195435,3,799,
0.09262774139642715,3,849,
0.14499835669994354,3,899,
,3,939,0.9585000276565552
0.15320363640785217,4,949,
0.12326058000326157,4,999,
0.1290135532617569,4,1049,
0.08263642340898514,4,1099,
0.07450944185256958,4,1149,
,4,1174,0.9631999731063843
