epoch,step,test_loss,test_mse,test_r2,train_loss,train_mse,train_r2
0,24,,,,,0.435502827167511,0.011606872081756592
1,49,,,,0.2326272428035736,,
1,49,,,,,0.36738577485084534,0.16620147228240967
2,74,,,,,0.3448464572429657,0.21735548973083496
3,99,,,,0.3261772692203522,,
3,99,,,,,0.31216442584991455,0.2915288805961609
4,124,,,,,0.27456650137901306,0.37685906887054443
5,149,,,,0.24506878852844238,,
5,149,,,,,0.2540143132209778,0.423503041267395
6,174,,,,,0.23273643851280212,0.4717943072319031
7,199,,,,0.2992607653141022,,
7,199,,,,,0.24202966690063477,0.45070284605026245
8,224,,,,,0.23367410898208618,0.46966612339019775
9,249,,,,0.19797338545322418,,
9,249,,,,,0.2074289321899414,0.5292308330535889
10,250,0.24615976214408875,0.24615976214408875,0.5266692042350769,,,
