epoch,step,test_loss,test_mse,test_r2,train_loss,train_mse,train_r2
0,24,,,,,0.5184099078178406,-0.14396488666534424
1,49,,,,0.2625480592250824,,
1,49,,,,,0.4004838466644287,0.11626017093658447
2,74,,,,,0.36048728227615356,0.20451974868774414
3,99,,,,0.2569073438644409,,
3,99,,,,,0.3340998589992523,0.2627483606338501
4,124,,,,,0.30386531352996826,0.3294663429260254
5,149,,,,0.3196021020412445,,
5,149,,,,,0.27831894159317017,0.38583904504776
6,174,,,,,0.24883338809013367,0.4509041905403137
7,199,,,,0.2518276274204254,,
7,199,,,,,0.23540450632572174,0.480537474155426
8,224,,,,,0.21731671690940857,0.5204514265060425
9,249,,,,0.2280912697315216,,
9,249,,,,,0.21473273634910583,0.5261534452438354
10,250,0.2047833800315857,0.2047833800315857,0.5253901481628418,,,
