epoch,step,train_loss,train_mse,train_r2
78,1974,,0.047117333859205246,0.8900797963142395
79,1999,0.041509732604026794,,
79,1999,,0.04559359699487686,0.893634557723999
80,2024,,0.04120912030339241,0.9038631319999695
81,2049,0.03472930192947388,,
81,2049,,0.04153178259730339,0.9031103849411011
82,2074,,0.044552627950906754,0.8960630297660828
83,2099,0.04187523201107979,,
83,2099,,0.038054656237363815,0.9112221598625183
84,2124,,0.03215876966714859,0.9249767065048218
85,2149,0.028645463287830353,,
85,2149,,0.031465575098991394,0.9265938401222229
86,2174,,0.03160983696579933,0.926257312297821
87,2199,0.011517769657075405,,
87,2199,,0.0362386554479599,0.9154586791992188
88,2224,,0.030041895806789398,0.9299151301383972
89,2249,0.031207051128149033,,
89,2249,,0.026070868596434593,0.9391791820526123
90,2274,,0.024586260318756104,0.9426426291465759
91,2299,0.060783758759498596,,
91,2299,,0.02507341466844082,0.9415061473846436
92,2324,,0.024107296019792557,0.9437599778175354
93,2349,0.037419650703668594,,
93,2349,,0.02442166581749916,0.943026602268219
94,2374,,0.021685779094696045,0.9494091868400574
95,2399,0.010292498394846916,,
95,2399,,0.019019221886992455,0.9556300044059753
96,2424,,0.018634513020515442,0.9565274715423584
97,2449,0.02603974938392639,,
97,2449,,0.01705661229789257,0.960208535194397
98,2474,,0.013642363250255585,0.9681736826896667
99,2499,0.01668628305196762,,
99,2499,,0.012700029648840427,0.9703720808029175
