epoch,step,train_loss,train_mse,train_r2
0,24,,0.49462881684303284,-0.15392136573791504
1,49,0.36220118403434753,,
1,49,,0.39372512698173523,0.08147722482681274
2,74,,0.3593501150608063,0.16167086362838745
3,99,0.2993110418319702,,
3,99,,0.34106770157814026,0.20432192087173462
4,124,,0.32287776470184326,0.24675726890563965
5,149,0.23089857399463654,,
5,149,,0.272824764251709,0.3635261654853821
6,174,,0.25129908323287964,0.41374343633651733
7,199,0.2067515254020691,,
7,199,,0.23266126215457916,0.45722371339797974
8,224,,0.21480491757392883,0.49888086318969727
9,249,0.14042456448078156,,
9,249,,0.20347772538661957,0.5253061056137085
10,274,,0.1964055597782135,0.5418047904968262
11,299,0.22605000436306,,
11,299,,0.18855714797973633,0.560114324092865
12,324,,0.19461524486541748,0.5459812879562378
13,349,0.18281987309455872,,
13,349,,0.18626360595226288,0.565464973449707
14,374,,0.2004500925540924,0.5323692560195923
15,399,0.1797347068786621,,
15,399,,0.18124407529830933,0.5771750211715698
16,424,,0.17441995441913605,0.5930950045585632
17,449,0.2680021822452545,,
17,449,,0.1870456486940384,0.5636404752731323
18,474,,0.21252834796905518,0.5041918754577637
19,499,0.204036146402359,,
19,499,,0.17239445447921753,0.5978204011917114
20,524,,0.1696091592311859,0.6043181419372559
21,549,0.2086958885192871,,
21,549,,0.16661390662193298,0.6113057136535645
22,574,,0.16268271207809448,0.6204768419265747
23,599,0.182901993393898,,
23,599,,0.15930582582950592,0.6283548474311829
24,624,,0.15307973325252533,0.6428797245025635
25,649,0.09549576044082642,,
25,649,,0.15503452718257904,0.6383193731307983
26,674,,0.14699608087539673,0.6570722460746765
27,699,0.2634247839450836,,
27,699,,0.14625677466392517,0.658797025680542
28,724,,0.15310326218605042,0.6428248882293701
29,749,0.19561564922332764,,
29,749,,0.15745726227760315,0.6326674222946167
30,774,,0.13963814079761505,0.6742376089096069
31,799,0.12426479160785675,,
31,799,,0.13967502117156982,0.6741516590118408
32,824,,0.14232730865478516,0.6679640412330627
33,849,0.11829523742198944,,
33,849,,0.13317659497261047,0.6893118023872375
34,874,,0.13636526465415955,0.6818729639053345
35,899,0.11943759769201279,,
35,899,,0.13267314434051514,0.6904863715171814
36,924,,0.13124220073223114,0.6938245892524719
37,949,0.17285054922103882,,
37,949,,0.12527748942375183,0.7077397108078003
38,974,,0.11962700635194778,0.7209217548370361
39,999,0.16082645952701569,,
39,999,,0.11633284389972687,0.728606641292572
40,1024,,0.1140068918466568,0.734032928943634
41,1049,0.1255093365907669,,
41,1049,,0.11205753684043884,0.738580584526062
42,1074,,0.11035838723182678,0.7425445318222046
43,1099,0.10304833203554153,,
43,1099,,0.10876577347517014,0.7462599277496338
44,1124,,0.10945294052362442,0.7446568608283997
45,1149,0.17562967538833618,,
45,1149,,0.10813777893781662,0.7477250099182129
46,1174,,0.10985875129699707,0.7437101006507874
47,1199,0.10994549095630646,,
47,1199,,0.10313231498003006,0.7594022750854492
48,1224,,0.10289549827575684,0.7599546909332275
49,1249,0.04880207031965256,,
49,1249,,0.10259252786636353,0.7606614828109741
50,1274,,0.09640499204397202,0.7750964760780334
51,1299,0.06781624257564545,,
51,1299,,0.09286438673734665,0.7833563089370728
52,1324,,0.09004493057727814,0.7899338603019714
53,1349,0.0927848368883133,,
53,1349,,0.09071117639541626,0.7883795499801636
54,1374,,0.0869331806898117,0.7971932888031006
55,1399,0.11689440906047821,,
55,1399,,0.08573423326015472,0.7999902963638306
56,1424,,0.08356590569019318,0.8050488233566284
57,1449,0.12541228532791138,,
57,1449,,0.0815427303314209,0.8097686767578125
58,1474,,0.08310244232416153,0.806130051612854
59,1499,0.07412856817245483,,
59,1499,,0.07861586660146713,0.8165967464447021
60,1524,,0.07618984580039978,0.8222564458847046
61,1549,0.14305512607097626,,
61,1549,,0.07622071355581284,0.8221844434738159
62,1574,,0.07925047725439072,0.815116286277771
63,1599,0.0700366199016571,,
63,1599,,0.07513728737831116,0.8247119188308716
64,1624,,0.07301528751850128,0.8296623826026917
65,1649,0.0890553742647171,,
65,1649,,0.07012998312711716,0.8363935351371765
66,1674,,0.06799429655075073,0.8413758277893066
67,1699,0.06738616526126862,,
67,1699,,0.06523974239826202,0.8478019833564758
68,1724,,0.0639515221118927,0.8508071899414062
69,1749,0.07299139350652695,,
69,1749,,0.06289120018482208,0.8532809019088745
70,1774,,0.06078073009848595,0.8582044243812561
71,1799,0.0738978236913681,,
71,1799,,0.059755172580480576,0.8605969548225403
72,1824,,0.056251101195812225,0.8687716126441956
73,1849,0.04454246535897255,,
73,1849,,0.05971217527985573,0.8606972694396973
74,1874,,0.05151844024658203,0.8798124194145203
75,1899,0.05088850110769272,,
75,1899,,0.052555933594703674,0.877392053604126
76,1924,,0.049940161406993866,0.8834944367408752
77,1949,0.10105808079242706,,
77,1949,,0.04843965545296669,0.8869949579238892
