cls_loss,epoch,step
0.741657555103302,0,49
0.46396735310554504,0,99
0.3774711489677429,0,149
0.382324755191803,0,199
0.2014780044555664,1,249
0.23052212595939636,1,299
0.28511983156204224,1,349
0.2933996915817261,1,399
0.21632187068462372,1,449
0.14623335003852844,2,499
0.24969208240509033,2,549
0.2361202836036682,2,599
0.20743818581104279,2,649
0.1633729189634323,2,699
0.16181474924087524,3,749
0.15979917347431183,3,799
0.1608823835849762,3,849
0.14339488744735718,3,899
0.09864206612110138,4,949
0.1086345687508583,4,999
0.08581645041704178,4,1049
0.19395551085472107,4,1099
0.07718497514724731,4,1149
