epoch,step,train_loss
1,49,0.05683422461152077
3,99,0.036154139786958694
5,149,0.013310912065207958
7,199,0.013048060238361359
9,249,0.013697762042284012
11,299,0.012879030779004097
13,349,0.013913948088884354
15,399,0.0173200573772192
17,449,0.012312394566833973
19,499,0.012790091335773468
21,549,0.005571320652961731
23,599,0.022387191653251648
25,649,0.00935954786837101
27,699,0.021026669070124626
29,749,0.010364657267928123
31,799,0.011270621791481972
33,849,0.008399481885135174
35,899,0.020090606063604355
37,949,0.010732119902968407
39,999,0.00716626551002264
41,1049,0.021190093830227852
43,1099,0.015479050576686859
45,1149,0.014467209577560425
47,1199,0.011484237387776375
49,1249,0.01141917984932661
