cls_loss,epoch,step,val_acc
0.7669691443443298,0,49,
0.4082634747028351,0,99,
0.4477251470088959,0,149,
0.3895166218280792,0,199,
,0,234,0.9199000000953674
0.23065492510795593,1,249,
0.33061572909355164,1,299,
0.22634375095367432,1,349,
0.3542620539665222,1,399,
0.22197574377059937,1,449,
,1,469,0.9348000288009644
0.20636075735092163,2,499,
0.24861349165439606,2,549,
0.2578723430633545,2,599,
0.17657551169395447,2,649,
0.15038959681987762,2,699,
,2,704,0.946399986743927
0.25693976879119873,3,749,
0.20109347999095917,3,799,
0.16114623844623566,3,849,
0.1917465627193451,3,899,
,3,939,0.9535999894142151
0.17389310896396637,4,949,
0.14434705674648285,4,999,
0.11750160902738571,4,1049,
0.1579224318265915,4,1099,
0.13731758296489716,4,1149,
,4,1174,0.9546999931335449
