epoch,step,test_loss,train_loss
1,49,,0.07310137897729874
2,99,,1.2953399419784546
4,149,,0.6004095673561096
5,199,,0.06397651135921478
6,249,,0.0810706838965416
8,299,,0.013459458015859127
9,349,,0.050646934658288956
10,399,,0.04606826603412628
12,449,,0.0427970215678215
13,499,,0.0630129724740982
14,549,,0.03943032771348953
16,599,,0.0771772563457489
17,649,,0.03638540208339691
18,699,,0.029911212623119354
20,749,,0.03278645500540733
21,799,,0.025671180337667465
22,849,,0.021290326490998268
24,899,,0.0238270815461874
25,949,,0.030834361910820007
27,999,,0.0387200303375721
28,1049,,0.025066128000617027
29,1099,,0.04111819714307785
31,1149,,0.02648383565247059
32,1199,,0.01802249625325203
33,1249,,0.009080818854272366
35,1299,,0.019399233162403107
36,1349,,0.009201857261359692
37,1399,,0.009757861495018005
39,1449,,0.007980757392942905
40,1499,,0.0631648376584053
41,1549,,0.012018661946058273
43,1599,,0.004892710596323013
44,1649,,0.033015646040439606
45,1699,,0.010136738419532776
47,1749,,0.007819278165698051
48,1799,,0.01573789119720459
49,1849,,0.010040709748864174
51,1899,,0.007669458165764809
52,1949,,0.008351355791091919
54,1999,,0.006671642418950796
55,2049,,0.0071927872486412525
56,2099,,0.00901601929217577
58,2149,,0.003954019397497177
59,2199,,0.00617013918235898
60,2249,,0.006522904150187969
62,2299,,0.004929208662360907
63,2349,,0.005690621677786112
64,2399,,0.002831947524100542
66,2449,,0.002195919631049037
67,2499,,0.014175351709127426
68,2549,,0.025136364623904228
70,2599,,0.007296538911759853
71,2649,,0.011374089866876602
72,2699,,0.012958592735230923
74,2749,,0.005345591809600592
75,2799,,0.0031588897109031677
77,2849,,0.004047652240842581
78,2899,,0.0057112593203783035
79,2949,,0.004258870147168636
81,2999,,0.013241255655884743
82,3049,,0.009908151812851429
83,3099,,0.002587519586086273
85,3149,,0.008444089442491531
86,3199,,0.0032812324352562428
87,3249,,0.0032743881456553936
89,3299,,0.004314625635743141
90,3349,,0.003677450120449066
91,3399,,0.0022283694706857204
93,3449,,0.0033956451807171106
94,3499,,0.0019820663146674633
95,3549,,0.0032653124071657658
97,3599,,0.002924492349848151
98,3649,,0.006272686645388603
99,3699,,0.0018179273465648293
100,3700,0.1570577472448349,
