epoch,step,test_acc,test_loss,train_loss
0,49,,,0.5677470564842224
0,99,,,0.4140671491622925
0,149,,,0.16228343546390533
0,199,,,0.2524620294570923
0,249,,,0.19749626517295837
0,299,,,0.28699058294296265
0,349,,,0.17971700429916382
0,399,,,0.2541390061378479
0,449,,,0.1842331886291504
1,499,,,0.15336067974567413
1,549,,,0.11876947432756424
1,599,,,0.09333677589893341
1,649,,,0.1302761733531952
1,699,,,0.1481228470802307
1,749,,,0.17011597752571106
1,799,,,0.0998123437166214
1,849,,,0.1015550047159195
1,899,,,0.13792277872562408
2,949,,,0.10469765961170197
2,999,,,0.057312969118356705
2,1049,,,0.14190122485160828
2,1099,,,0.19163274765014648
2,1149,,,0.10661312937736511
2,1199,,,0.11239627748727798
2,1249,,,0.06397052109241486
2,1299,,,0.10168389976024628
2,1349,,,0.02249443344771862
2,1399,,,0.10086480528116226
3,1449,,,0.061297688633203506
3,1499,,,0.10146548599004745
3,1549,,,0.0552801713347435
3,1599,,,0.09418686479330063
3,1649,,,0.023358013480901718
3,1699,,,0.04542822018265724
3,1749,,,0.12695841491222382
3,1799,,,0.02880784124135971
3,1849,,,0.07657074928283691
4,1899,,,0.030154351145029068
4,1949,,,0.023572536185383797
4,1999,,,0.031697820872068405
4,2049,,,0.09529810398817062
4,2099,,,0.027973510324954987
4,2149,,,0.0616704486310482
4,2199,,,0.04602542892098427
4,2249,,,0.053603097796440125
4,2299,,,0.025283291935920715
5,2349,,,0.016425354406237602
5,2399,,,0.03271395340561867
5,2449,,,0.06037161871790886
5,2499,,,0.0259820856153965
5,2549,,,0.031044945120811462
5,2599,,,0.07179834693670273
5,2649,,,0.04585977643728256
5,2699,,,0.09521713852882385
5,2749,,,0.031131979078054428
5,2799,,,0.062056541442871094
6,2849,,,0.017859002575278282
6,2899,,,0.015372933819890022
6,2949,,,0.04486921802163124
6,2999,,,0.05174138396978378
6,3049,,,0.016331378370523453
6,3099,,,0.022222580388188362
6,3149,,,0.018814263865351677
6,3199,,,0.007684934418648481
6,3249,,,0.06342340260744095
7,3299,,,0.06164514645934105
7,3349,,,0.014068293385207653
7,3399,,,0.010049061849713326
7,3449,,,0.018877772614359856
7,3499,,,0.048198044300079346
7,3549,,,0.021242564544081688
7,3599,,,0.045461732894182205
7,3649,,,0.027361556887626648
7,3699,,,0.021836888045072556
7,3749,,,0.011856529861688614
8,3799,,,0.10875261574983597
8,3849,,,0.011726065538823605
8,3899,,,0.03064592182636261
8,3949,,,0.009813227690756321
8,3999,,,0.005978826899081469
8,4049,,,0.024632439017295837
8,4099,,,0.01868479698896408
8,4149,,,0.020401472225785255
8,4199,,,0.0012533866101875901
9,4249,,,0.004427883308380842
9,4299,,,0.02122354693710804
9,4349,,,0.01997969299554825
9,4399,,,0.00817971769720316
9,4449,,,0.01980140060186386
9,4499,,,0.021575992926955223
9,4549,,,0.016448432579636574
9,4599,,,0.022433854639530182
9,4649,,,0.0644734650850296
10,4699,,,0.02968563884496689
10,4749,,,0.004543249495327473
