epoch,step,test_loss,test_mse,test_r2,train_loss,train_mse,train_r2
0,24,,,,,0.41567742824554443,0.04070615768432617
1,49,,,,0.3300558030605316,,
1,49,,,,,0.3651288151741028,0.15736138820648193
2,74,,,,,0.34515854716300964,0.20344853401184082
3,99,,,,0.21179485321044922,,
3,99,,,,,0.2966200113296509,0.31546491384506226
4,124,,,,,0.26355957984924316,0.39176130294799805
5,149,,,,0.29149457812309265,,
5,149,,,,,0.2407272905111313,0.4444531798362732
6,174,,,,,0.22423313558101654,0.48251819610595703
7,199,,,,0.25527188181877136,,
7,199,,,,,0.20749199390411377,0.5211532115936279
8,224,,,,,0.20060625672340393,0.5370439887046814
9,249,,,,0.23315641283988953,,
9,249,,,,,0.2023443579673767,0.5330328345298767
10,250,0.22050993144512177,0.22050993144512177,0.5296522378921509,,,
