ae_loss,epoch,step
0.060260236263275146,0,49
0.04299437254667282,0,99
0.030826441943645477,0,149
0.023884877562522888,0,199
0.020300861448049545,1,249
0.01701546087861061,1,299
0.0160541869699955,1,349
0.014330137521028519,1,399
0.013262654654681683,1,449
0.012544970028102398,2,499
0.011588339693844318,2,549
0.011242774315178394,2,599
0.010731294751167297,2,649
0.009920033626258373,2,699
0.008945735171437263,3,749
0.008999480865895748,3,799
0.008713522925972939,3,849
0.009309819899499416,3,899
0.008429422974586487,4,949
0.008140829391777515,4,999
0.008458218537271023,4,1049
0.007906896993517876,4,1099
0.0073635755106806755,4,1149
0.007702502887696028,5,1199
0.007420986425131559,5,1249
0.007505518384277821,5,1299
0.007386885583400726,5,1349
0.007753060664981604,5,1399
0.0075200581923127174,6,1449
0.007475091610103846,6,1499
0.00752261932939291,6,1549
0.006667134817689657,6,1599
0.007148549426347017,7,1649
0.006797801703214645,7,1699
0.0067685432732105255,7,1749
0.006807008758187294,7,1799
0.006714938208460808,7,1849
0.0069170063361525536,8,1899
0.006205401849001646,8,1949
0.006367697846144438,8,1999
0.006122466642409563,8,2049
0.006097844801843166,8,2099
0.006986001506447792,9,2149
0.006203442346304655,9,2199
0.0063369181007146835,9,2249
0.0063607897609472275,9,2299
0.0062479195185005665,9,2349
0.0061561549082398415,10,2399
0.006022414192557335,10,2449
0.006297474727034569,10,2499
0.005893156863749027,10,2549
0.005859261378645897,11,2599
0.005972845014184713,11,2649
0.00588379567489028,11,2699
0.005661781411617994,11,2749
0.005988792050629854,11,2799
0.005599017255008221,12,2849
0.005863714497536421,12,2899
0.005715316627174616,12,2949
0.0054985759779810905,12,2999
0.006316524464637041,12,3049
0.005735720973461866,13,3099
0.005890596192330122,13,3149
0.005376713816076517,13,3199
0.005735065322369337,13,3249
0.005375836975872517,14,3299
0.006064164452254772,14,3349
0.005581901408731937,14,3399
0.005919369403272867,14,3449
0.0053094374015927315,14,3499
0.0050575630739331245,15,3549
0.00566438864916563,15,3599
0.005337862763553858,15,3649
0.00573011627420783,15,3699
0.005301846656948328,15,3749
0.005141592118889093,16,3799
0.005645199213176966,16,3849
0.005217188503593206,16,3899
0.005156129132956266,16,3949
0.00537829427048564,17,3999
0.005284283310174942,17,4049
0.004977849777787924,17,4099
0.005339191760867834,17,4149
0.005208054557442665,17,4199
0.005057997070252895,18,4249
0.0052236649207770824,18,4299
0.004740788135677576,18,4349
0.005333826411515474,18,4399
0.005205748602747917,18,4449
0.00498551269993186,19,4499
0.004874133039265871,19,4549
0.005061989650130272,19,4599
0.00507431011646986,19,4649
0.0051737683825194836,19,4699
