epoch,step,test_loss,train_loss
1,49,,0.08321152627468109
2,99,,0.11579032242298126
4,149,,0.07181089371442795
5,199,,0.09499961882829666
6,249,,0.11195778101682663
8,299,,0.03326514735817909
9,349,,0.050828468054533005
10,399,,0.08018971979618073
12,449,,0.042316190898418427
13,499,,0.09193257242441177
14,549,,0.0394083708524704
16,599,,0.04025369882583618
17,649,,0.06536397337913513
18,699,,0.03732294961810112
20,749,,0.02098711207509041
21,799,,0.01865503191947937
22,849,,0.04094159975647926
24,899,,0.02111629582941532
25,949,,0.026778358966112137
27,999,,0.006560712121427059
28,1049,,0.024498354643583298
29,1099,,0.05726272240281105
31,1149,,0.10216249525547028
32,1199,,0.009802979417145252
33,1249,,0.015727030113339424
35,1299,,0.02615903504192829
36,1349,,0.02280503883957863
37,1399,,0.014778689481317997
39,1449,,0.007822529412806034
40,1499,,0.008265918120741844
41,1549,,0.00965484231710434
43,1599,,0.007646437268704176
44,1649,,0.021666843444108963
45,1699,,0.019778626039624214
47,1749,,0.008781356737017632
48,1799,,0.006268775090575218
49,1849,,0.007916170172393322
51,1899,,0.012378059327602386
52,1949,,0.02279258705675602
54,1999,,0.004655387252569199
55,2049,,0.005011290777474642
56,2099,,0.011452405713498592
58,2149,,0.012917694635689259
59,2199,,0.01181452814489603
60,2249,,0.007839825004339218
62,2299,,0.005173657555133104
63,2349,,0.007546889595687389
64,2399,,0.008753197267651558
66,2449,,0.051713597029447556
67,2499,,0.008371534757316113
68,2549,,0.008045968599617481
70,2599,,0.010830268263816833
71,2649,,0.005118061788380146
72,2699,,0.0035984674468636513
74,2749,,0.0028326744213700294
75,2799,,0.003376216860488057
77,2849,,0.00380892725661397
78,2899,,0.002749520353972912
79,2949,,0.0048108696937561035
81,2999,,0.014963927678763866
82,3049,,0.003586576785892248
83,3099,,0.004179275128990412
85,3149,,0.008977892808616161
86,3199,,0.011206956580281258
87,3249,,0.005035471636801958
89,3299,,0.00896930880844593
90,3349,,0.009720646776258945
91,3399,,0.005891756620258093
93,3449,,0.0067097037099301815
94,3499,,0.002619769424200058
95,3549,,0.004748063627630472
97,3599,,0.0029946633148938417
98,3649,,0.00616030627861619
99,3699,,0.002359331352636218
100,3700,0.183915376663208,
