epoch,step,test_loss,train_loss
1,49,,0.06565971672534943
2,99,,0.032184384763240814
4,149,,0.03911147266626358
5,199,,0.06055779755115509
6,249,,0.0671769380569458
8,299,,0.04585132747888565
9,349,,0.04639430344104767
10,399,,0.04535092040896416
12,449,,0.018607331439852715
13,499,,0.06976049393415451
14,549,,0.027174707502126694
16,599,,0.020525334402918816
17,649,,0.030807631090283394
18,699,,0.02417531982064247
20,749,,0.028891053050756454
21,799,,0.013274423778057098
22,849,,0.08859147131443024
24,899,,0.01674233190715313
25,949,,0.013831852003932
27,999,,0.026654498651623726
28,1049,,0.014500490389764309
29,1099,,0.022681696340441704
31,1149,,0.008686966262757778
32,1199,,0.016528045758605003
33,1249,,0.02172989398241043
35,1299,,0.011820866726338863
36,1349,,0.017101747915148735
37,1399,,0.010306931100785732
39,1449,,0.00553436204791069
40,1499,,0.008344854228198528
41,1549,,0.015876539051532745
43,1599,,0.016193151473999023
44,1649,,0.009302977472543716
45,1699,,0.005714370869100094
47,1749,,0.00591610511764884
48,1799,,0.015300801023840904
49,1849,,0.0073977005667984486
51,1899,,0.003971048630774021
52,1949,,0.005229730159044266
54,1999,,0.007890790700912476
55,2049,,0.005208624992519617
56,2099,,0.010191199369728565
58,2149,,0.00170881487429142
59,2199,,0.00811818428337574
60,2249,,0.006283940747380257
62,2299,,0.0022063429933041334
63,2349,,0.014089634642004967
64,2399,,0.007298081181943417
66,2449,,0.00835722777992487
67,2499,,0.005340686533600092
68,2549,,0.015628086403012276
70,2599,,0.005203161854296923
71,2649,,0.00712084025144577
72,2699,,0.002366173081099987
74,2749,,0.004360227379947901
75,2799,,0.002200164133682847
77,2849,,0.0061532435938715935
78,2899,,0.0022258867975324392
79,2949,,0.0015157494926825166
81,2999,,0.0036820489913225174
82,3049,,0.0036130223888903856
83,3099,,0.005405131261795759
85,3149,,0.002848987001925707
86,3199,,0.006296422332525253
87,3249,,0.005079306196421385
89,3299,,0.009912850335240364
90,3349,,0.006401978898793459
91,3399,,0.003286216873675585
93,3449,,0.002146875485777855
94,3499,,0.0028194489423185587
95,3549,,0.0018898824928328395
97,3599,,0.0018055344698950648
98,3649,,0.005153009667992592
99,3699,,0.040541671216487885
100,3700,0.1503380835056305,
