epoch,step,test_loss,test_mse,test_r2,train_loss,train_mse,train_r2
0,24,,,,,0.4847281277179718,-0.07212841510772705
1,49,,,,0.3489997386932373,,
1,49,,,,,0.4170950651168823,0.07746326923370361
2,74,,,,,0.3782957196235657,0.16328024864196777
3,99,,,,0.39124131202697754,,
3,99,,,,,0.33417075872421265,0.26087647676467896
4,124,,,,,0.29891157150268555,0.33886319398880005
5,149,,,,0.23499783873558044,,
5,149,,,,,0.2660757005214691,0.4114900231361389
6,174,,,,,0.24196544289588928,0.4648174047470093
7,199,,,,0.17961272597312927,,
7,199,,,,,0.22320549190044403,0.5063108801841736
8,224,,,,,0.21701425313949585,0.5200048685073853
9,249,,,,0.27103859186172485,,
9,249,,,,,0.23392365872859955,0.4826042652130127
10,250,0.18766489624977112,0.18766489624977112,0.5877037644386292,,,
