epoch,step,test_acc,test_f1,test_loss,test_prec,test_rec,train_acc,train_f1,train_loss,train_prec,train_rec
0,22,,,,,,0.6362359523773193,0.0716845914721489,,0.9090909361839294,0.03731343150138855
1,45,,,,,,0.6910112500190735,0.32926830649375916,,0.8999999761581421,0.2014925330877304
2,49,,,,,,,,0.5545278787612915,,
2,68,,,,,,0.800561785697937,0.6899563074111938,,0.8315789699554443,0.5895522236824036
3,91,,,,,,0.8117977380752563,0.7265306115150452,,0.8018018007278442,0.6641790866851807
4,99,,,,,,,,0.49107909202575684,,
4,114,,,,,,0.8117977380752563,0.7265306115150452,,0.8018018007278442,0.6641790866851807
5,137,,,,,,0.8117977380752563,0.7265306115150452,,0.8018018007278442,0.6641790866851807
6,149,,,,,,,,0.5960570573806763,,
6,160,,,,,,0.8103932738304138,0.7250509262084961,,0.7982062697410583,0.6641790866851807
7,183,,,,,,0.8132022619247437,0.7280163764953613,,0.8054298758506775,0.6641790866851807
8,199,,,,,,,,0.4110153615474701,,
8,206,,,,,,0.8033707737922668,0.7200000286102295,,0.7758620977401733,0.6716417670249939
9,229,,,,,,0.8188202381134033,0.7318087220191956,,0.8262910842895508,0.6567164063453674
10,249,,,,,,,,0.4953095316886902,,
10,252,,,,,,0.8146067261695862,0.726141095161438,,0.8177570104598999,0.6529850959777832
11,275,,,,,,0.8160112500190735,0.7230443954467773,,0.8341463208198547,0.638059675693512
12,298,,,,,,0.8188202381134033,0.7261146306991577,,0.8423645496368408,0.638059675693512
13,299,,,,,,,,0.461158812046051,,
13,321,,,,,,0.8188202381134033,0.7284210324287415,,0.8357487916946411,0.64552241563797
14,344,,,,,,0.8188202381134033,0.7272727489471436,,0.8390243649482727,0.641791045665741
15,349,,,,,,,,0.4384596347808838,,
15,367,,,,,,0.817415714263916,0.7149122953414917,,0.8670212626457214,0.608208954334259
16,390,,,,,,0.8202247023582458,0.7168141603469849,,0.8804348111152649,0.60447758436203
17,399,,,,,,,,0.4189809560775757,,
17,413,,,,,,0.8188202381134033,0.7213822603225708,,0.8564102649688721,0.6231343150138855
18,436,,,,,,0.817415714263916,0.7136563658714294,,0.8709677457809448,0.60447758436203
19,449,,,,,,,,0.5586243271827698,,
19,459,,,,,,0.8160112500190735,0.7218683362007141,,0.8374384045600891,0.6343283653259277
20,460,0.7988826632499695,0.7352941036224365,0.42991915345191956,0.8064516186714172,0.6756756901741028,,,,,
