epoch,step,test_loss,test_mse,test_r2,train_loss,train_mse,train_r2
0,24,,,,,11.073278427124023,-0.3010742664337158
1,49,,,,0.09996740520000458,,
1,49,,,,,0.30608808994293213,0.96403568983078
2,74,,,,,0.037456825375556946,0.9955989718437195
3,99,,,,0.009422953240573406,,
3,99,,,,,0.010470842942595482,0.9987697005271912
4,124,,,,,0.009883217513561249,0.9988387823104858
5,149,,,,0.008017140440642834,,
5,149,,,,,0.009815816767513752,0.9988466501235962
6,174,,,,,0.009868774563074112,0.9988404512405396
7,199,,,,0.011677379719913006,,
7,199,,,,,0.00982411578297615,0.9988456964492798
8,224,,,,,0.00990668311715126,0.9988359808921814
9,249,,,,0.01300721988081932,,
9,249,,,,,0.009929478168487549,0.9988332986831665
10,274,,,,,0.009819951839745045,0.998846173286438
11,299,,,,0.01390568632632494,,
11,299,,,,,0.009922964498400688,0.9988340735435486
12,324,,,,,0.009888410568237305,0.9988381266593933
13,349,,,,0.007082714233547449,,
13,349,,,,,0.010361590422689915,0.9987825751304626
14,374,,,,,0.010262773372232914,0.9987941384315491
15,399,,,,0.009351280517876148,,
15,399,,,,,0.00991140864789486,0.9988354444503784
16,424,,,,,0.009825942106544971,0.9988454580307007
17,449,,,,0.008113221265375614,,
17,449,,,,,0.009803380817174911,0.9988481402397156
18,474,,,,,0.010032959282398224,0.9988211393356323
19,499,,,,0.013502688147127628,,
19,499,,,,,0.009945716708898544,0.9988313913345337
20,524,,,,,0.009972820058465004,0.9988282322883606
21,549,,,,0.008706115186214447,,
21,549,,,,,0.009769415482878685,0.9988521337509155
22,574,,,,,0.009809717535972595,0.9988473653793335
23,599,,,,0.014599459245800972,,
23,599,,,,,0.009936738759279251,0.9988324642181396
24,624,,,,,0.010256294161081314,0.9987949132919312
25,649,,,,0.009174773469567299,,
25,649,,,,,0.00994236208498478,0.9988318085670471
26,674,,,,,0.01016915775835514,0.9988051652908325
27,699,,,,0.009434749372303486,,
27,699,,,,,0.009873680770397186,0.9988398551940918
28,724,,,,,0.009942935779690742,0.9988317489624023
29,749,,,,0.00951483752578497,,
29,749,,,,,0.009856157936155796,0.9988419413566589
30,774,,,,,0.009917336516082287,0.9988347291946411
31,799,,,,0.010689333081245422,,
31,799,,,,,0.009927522391080856,0.9988335371017456
32,824,,,,,0.010259926319122314,0.9987944960594177
33,849,,,,0.010346794500946999,,
33,849,,,,,0.009879008866846561,0.998839259147644
34,874,,,,,0.009815466590225697,0.998846709728241
35,899,,,,0.008268216624855995,,
35,899,,,,,0.0100187873467803,0.998822808265686
36,924,,,,,0.010043198242783546,0.9988199472427368
37,949,,,,0.007088758517056704,,
37,949,,,,,0.009917957708239555,0.9988346695899963
38,974,,,,,0.010198385454714298,0.9988017082214355
39,999,,,,0.007839201018214226,,
39,999,,,,,0.009899069555103779,0.998836874961853
40,1024,,,,,0.009779364801943302,0.99885094165802
41,1049,,,,0.010706107132136822,,
41,1049,,,,,0.010228398256003857,0.9987981915473938
42,1074,,,,,0.009958820417523384,0.9988298416137695
43,1099,,,,0.007347587496042252,,
43,1099,,,,,0.00998573750257492,0.9988266825675964
44,1124,,,,,0.009881225414574146,0.9988389611244202
45,1149,,,,0.012739419937133789,,
45,1149,,,,,0.010053418576717377,0.9988187551498413
46,1174,,,,,0.009887904860079288,0.9988381862640381
47,1199,,,,0.01100534200668335,,
47,1199,,,,,0.009950191713869572,0.9988309144973755
48,1224,,,,,0.010140320286154747,0.9988085627555847
49,1249,,,,0.012847702950239182,,
49,1249,,,,,0.009860211983323097,0.9988414645195007
50,1250,0.010791735723614693,0.010791735723614693,0.998684823513031,,,
