ae_loss,epoch,step
0.07242492586374283,0,49
0.055935222655534744,0,99
0.03848829120397568,0,149
0.03275972977280617,0,199
0.02840002253651619,1,249
0.026438824832439423,1,299
0.025158977136015892,1,349
0.022108083590865135,1,399
0.020458199083805084,1,449
0.019961657002568245,2,499
0.018932493403553963,2,549
0.018135685473680496,2,599
0.017623919993638992,2,649
0.016738498583436012,2,699
0.014765341766178608,3,749
0.014976409263908863,3,799
0.01479031890630722,3,849
0.01468238141387701,3,899
0.013854961842298508,4,949
0.012609095312654972,4,999
0.012583393603563309,4,1049
0.012350663542747498,4,1099
0.011888591572642326,4,1149
