cls_loss,epoch,step,val_acc
0.8772443532943726,0,49,
0.430960088968277,0,99,
0.302343487739563,0,149,
0.315438836812973,0,199,
,0,234,0.923799991607666
0.3223809599876404,1,249,
0.22864437103271484,1,299,
0.2843957245349884,1,349,
0.28764787316322327,1,399,
0.2660190761089325,1,449,
,1,469,0.9430999755859375
0.28243470191955566,2,499,
0.16406755149364471,2,549,
0.21307286620140076,2,599,
0.19088387489318848,2,649,
0.12496790289878845,2,699,
,2,704,0.9527000188827515
0.17028586566448212,3,749,
0.2069447636604309,3,799,
0.16134585440158844,3,849,
0.11303509026765823,3,899,
,3,939,0.9587000012397766
0.211318701505661,4,949,
0.1497388631105423,4,999,
0.144341379404068,4,1049,
0.14072537422180176,4,1099,
0.1551997810602188,4,1149,
,4,1174,0.9629999995231628
0.11364201456308365,5,1199,
0.14827734231948853,5,1249,
0.10326068848371506,5,1299,
0.14422306418418884,5,1349,
0.09741425514221191,5,1399,
,5,1409,0.9660000205039978
0.17559251189231873,6,1449,
0.13797065615653992,6,1499,
0.12270133197307587,6,1549,
0.09996549040079117,6,1599,
,6,1644,0.9684000015258789
0.08423938602209091,7,1649,
0.09455348551273346,7,1699,
0.09681187570095062,7,1749,
0.06636282801628113,7,1799,
0.08297733962535858,7,1849,
,7,1879,0.9702000021934509
0.10477522015571594,8,1899,
0.09044008702039719,8,1949,
0.07566316425800323,8,1999,
0.11857276409864426,8,2049,
0.12817414104938507,8,2099,
,8,2114,0.9718999862670898
0.09469928592443466,9,2149,
0.09576171636581421,9,2199,
0.10127145051956177,9,2249,
0.046785879880189896,9,2299,
0.14686134457588196,9,2349,
,9,2349,0.9732000231742859
0.06937519460916519,10,2399,
0.08689280599355698,10,2449,
0.07889898866415024,10,2499,
0.13996563851833344,10,2549,
,10,2584,0.9754999876022339
0.10995637625455856,11,2599,
0.1236870214343071,11,2649,
0.04140820354223251,11,2699,
0.07231398671865463,11,2749,
0.11791125684976578,11,2799,
,11,2819,0.9747999906539917
0.05144083872437477,12,2849,
0.053100258111953735,12,2899,
0.046122707426548004,12,2949,
0.11834925413131714,12,2999,
0.07383710891008377,12,3049,
,12,3054,0.9761000275611877
0.047595616430044174,13,3099,
0.09203312546014786,13,3149,
0.11772792041301727,13,3199,
0.10728748142719269,13,3249,
,13,3289,0.9764000177383423
0.09120652079582214,14,3299,
0.05563683062791824,14,3349,
0.08739005774259567,14,3399,
0.04833163321018219,14,3449,
0.08267875760793686,14,3499,
,14,3524,0.9757000207901001
0.07208026200532913,15,3549,
0.10497463494539261,15,3599,
0.03309275954961777,15,3649,
0.039030466228723526,15,3699,
0.08306500315666199,15,3749,
,15,3759,0.9769999980926514
0.0536973662674427,16,3799,
0.04802559316158295,16,3849,
0.06016002222895622,16,3899,
0.07802323997020721,16,3949,
,16,3994,0.9767000079154968
0.07400798797607422,17,3999,
0.0597485676407814,17,4049,
0.08017905056476593,17,4099,
0.08314604312181473,17,4149,
0.07774833589792252,17,4199,
,17,4229,0.9782000184059143
0.04784098267555237,18,4249,
0.040098294615745544,18,4299,
0.07405997812747955,18,4349,
0.06005501002073288,18,4399,
0.04871846362948418,18,4449,
,18,4464,0.9783999919891357
0.033477120101451874,19,4499,
0.09479593485593796,19,4549,
0.057761140167713165,19,4599,
0.03881377726793289,19,4649,
0.03635663911700249,19,4699,
,19,4699,0.9776999950408936
