epoch,step,test_loss,test_mse,test_r2,train_loss,train_mse,train_r2
0,24,,,,,0.4950980842113495,-0.09458005428314209
1,49,,,,0.4727170765399933,,
1,49,,,,,0.43064606189727783,0.04791259765625
2,74,,,,,0.4100995361804962,0.09333759546279907
3,99,,,,0.5274742245674133,,
3,99,,,,,0.3683246970176697,0.18569475412368774
4,124,,,,,0.34835800528526306,0.22983801364898682
5,149,,,,0.295818954706192,,
5,149,,,,,0.32965949177742004,0.27117717266082764
6,174,,,,,0.31037598848342896,0.31380993127822876
7,199,,,,0.230080246925354,,
7,199,,,,,0.2844657897949219,0.37109309434890747
8,224,,,,,0.270525187253952,0.4019134044647217
9,249,,,,0.24901580810546875,,
9,249,,,,,0.25215184688568115,0.4425339698791504
10,250,0.28599879145622253,0.28599879145622253,0.3881326913833618,,,
