cls_loss,epoch,step,val_acc
0.7760414481163025,0,49,
0.5195267796516418,0,99,
0.38180842995643616,0,149,
0.3244783282279968,0,199,
,0,234,0.9199000000953674
0.2810703217983246,1,249,
0.278884619474411,1,299,
0.2687322795391083,1,349,
0.17086543142795563,1,399,
0.255297988653183,1,449,
,1,469,0.9417999982833862
0.2349398136138916,2,499,
0.1970123052597046,2,549,
0.1955169141292572,2,599,
0.21821671724319458,2,649,
0.25270095467567444,2,699,
,2,704,0.9484999775886536
0.18737389147281647,3,749,
0.2014431357383728,3,799,
0.150899738073349,3,849,
0.20884732902050018,3,899,
,3,939,0.9563999772071838
0.216247096657753,4,949,
0.1976080685853958,4,999,
0.1434057652950287,4,1049,
0.06535046547651291,4,1099,
0.1837577223777771,4,1149,
,4,1174,0.9598000049591064
0.12650714814662933,5,1199,
0.11788274347782135,5,1249,
0.16342131793498993,5,1299,
0.13764552772045135,5,1349,
0.13255734741687775,5,1399,
,5,1409,0.960099995136261
0.08433792740106583,6,1449,
0.17562085390090942,6,1499,
0.18905869126319885,6,1549,
0.10357090085744858,6,1599,
,6,1644,0.9653000235557556
0.11258423328399658,7,1649,
0.0921323373913765,7,1699,
0.0794968530535698,7,1749,
0.13725923001766205,7,1799,
0.1006464809179306,7,1849,
,7,1879,0.9660999774932861
0.14318983256816864,8,1899,
0.07370994985103607,8,1949,
0.11106757074594498,8,1999,
0.1393934190273285,8,2049,
0.11390361189842224,8,2099,
,8,2114,0.9677000045776367
0.10586623847484589,9,2149,
0.1301206350326538,9,2199,
0.12510159611701965,9,2249,
0.09932135045528412,9,2299,
0.14942578971385956,9,2349,
,9,2349,0.9692000150680542
0.11840427666902542,10,2399,
0.10928685963153839,10,2449,
0.1158285066485405,10,2499,
0.06456036120653152,10,2549,
,10,2584,0.9710000157356262
0.049477431923151016,11,2599,
0.1565277874469757,11,2649,
0.07688422501087189,11,2699,
0.0828358456492424,11,2749,
0.05551023781299591,11,2799,
,11,2819,0.9708999991416931
0.05470830202102661,12,2849,
0.06163928285241127,12,2899,
0.08211461454629898,12,2949,
0.11444170773029327,12,2999,
0.11131304502487183,12,3049,
,12,3054,0.97079998254776
