epoch,step,train_loss,train_mse,train_r2,val_loss,val_mse,val_r2
45,1149,,0.12992434203624725,0.7170318365097046,,,
46,1174,,,,0.13757659494876862,0.13757659494876862,0.6773775219917297
46,1174,,0.1268162578344345,0.7238011360168457,,,
47,1199,0.14302492141723633,,,,,
47,1199,,,,0.13136698305606842,0.13136698305606842,0.6919392347335815
47,1199,,0.13404271006584167,0.7080622315406799,,,
48,1224,,,,0.12070117145776749,0.12070117145776749,0.7169510126113892
48,1224,,0.12633299827575684,0.7248536348342896,,,
49,1249,0.13313427567481995,,,,,
49,1249,,,,0.11896735429763794,0.11896735429763794,0.7210168838500977
49,1249,,0.11811139434576035,0.7427598237991333,,,
50,1274,,,,0.11603818088769913,0.11603818088769913,0.7278859615325928
50,1274,,0.11439159512519836,0.7508612871170044,,,
51,1299,0.07714428752660751,,,,,
51,1299,,,,0.11488179117441177,0.11488179117441177,0.730597734451294
51,1299,,0.11613597720861435,0.7470621466636658,,,
52,1324,,,,0.1110079362988472,0.1110079362988472,0.7396820783615112
52,1324,,0.11190254241228104,0.7562823295593262,,,
53,1349,0.13819463551044464,,,,,
53,1349,,,,0.10973730683326721,0.10973730683326721,0.742661714553833
53,1349,,0.11175697296857834,0.7565993666648865,,,
54,1374,,,,0.10928365588188171,0.10928365588188171,0.7437255382537842
54,1374,,0.1089119017124176,0.7627957463264465,,,
55,1399,0.17730049788951874,,,,,
55,1399,,,,0.11540686339139938,0.11540686339139938,0.7293664216995239
55,1399,,0.11052676290273666,0.7592787742614746,,,
56,1424,,,,0.11008211970329285,0.11008211970329285,0.7418531179428101
56,1424,,0.11182475090026855,0.7564517259597778,,,
57,1449,0.15759770572185516,,,,,
57,1449,,,,0.11720551550388336,0.11720551550388336,0.7251484394073486
57,1449,,0.10182786732912064,0.7782244682312012,,,
58,1474,,,,0.11407419294118881,0.11407419294118881,0.7324915528297424
58,1474,,0.10627355426549911,0.7685419917106628,,,
59,1499,0.056929152458906174,,,,,
59,1499,,,,0.10140494257211685,0.10140494257211685,0.7622014284133911
59,1499,,0.10375384241342545,0.7740297913551331,,,
60,1524,,,,0.09518802911043167,0.09518802911043167,0.776780366897583
60,1524,,0.10012956708669662,0.781923234462738,,,
61,1549,0.05141931772232056,,,,,
61,1549,,,,0.09629618376493454,0.09629618376493454,0.7741816639900208
61,1549,,0.0957569032907486,0.7914466857910156,,,
62,1574,,,,0.09585558623075485,0.09585558623075485,0.7752149105072021
62,1574,,0.09354417026042938,0.7962659001350403,,,
63,1599,0.09572382271289825,,,,,
63,1599,,,,0.09147780388593674,0.09147780388593674,0.7854809761047363
63,1599,,0.090874083340168,0.8020812273025513,,,
64,1624,,,,0.08793006092309952,0.08793006092309952,0.7938005924224854
64,1624,,0.09515321999788284,0.7927614450454712,,,
65,1649,0.04156317934393883,,,,,
65,1649,,,,0.08107233047485352,0.08107233047485352,0.8098822236061096
65,1649,,0.08851177245378494,0.8072261810302734,,,
66,1674,,,,0.08318931609392166,0.08318931609392166,0.8049178123474121
66,1674,,0.08596333861351013,0.8127765655517578,,,
67,1699,0.061939772218465805,,,,,
67,1699,,,,0.07657642662525177,0.07657642662525177,0.820425271987915
67,1699,,0.08026745915412903,0.8251818418502808,,,
68,1724,,,,0.07435695827007294,0.07435695827007294,0.8256300091743469
68,1724,,0.0787835493683815,0.828413724899292,,,
69,1749,0.07027065008878708,,,,,
69,1749,,,,0.08566689491271973,0.08566689491271973,0.7991077899932861
69,1749,,0.07892114669084549,0.8281140327453613,,,
70,1774,,,,0.07455532997846603,0.07455532997846603,0.825164794921875
70,1774,,0.07381825149059296,0.8392278552055359,,,
71,1799,0.06894826143980026,,,,,
71,1799,,,,0.06444118171930313,0.06444118171930313,0.8488829135894775
71,1799,,0.07048964500427246,0.8464773893356323,,,
72,1824,,,,0.07039815187454224,0.07039815187454224,0.8349135518074036
72,1824,,0.06522160768508911,0.8579509258270264,,,
73,1849,0.06867770850658417,,,,,
73,1849,,,,0.06738898158073425,0.06738898158073425,0.8419702053070068
73,1849,,0.066656194627285,0.8548263907432556,,,
74,1874,,,,0.054657235741615295,0.054657235741615295,0.8718266487121582
74,1874,,0.06560096889734268,0.8571246862411499,,,
75,1899,0.1037965938448906,,,,,
75,1899,,,,0.05510147660970688,0.05510147660970688,0.8707848787307739
75,1899,,0.06528991460800171,0.8578020930290222,,,
76,1924,,,,0.0576440654695034,0.0576440654695034,0.8648223876953125
76,1924,,0.05661163851618767,0.8767029047012329,,,
77,1949,0.04824814200401306,,,,,
77,1949,,,,0.04655831679701805,0.04655831679701805,0.8908189535140991
77,1949,,0.05380232632160187,0.8828214406967163,,,
78,1974,,,,0.054492540657520294,0.054492540657520294,0.8722128868103027
78,1974,,0.054478105157613754,0.8813496232032776,,,
79,1999,0.04890400171279907,,,,,
79,1999,,,,0.042615536600351334,0.042615536600351334,0.9000648856163025
79,1999,,0.049002934247255325,0.8932742476463318,,,
80,2024,,,,0.03970581665635109,0.03970581665635109,0.9068883061408997
80,2024,,0.04567667841911316,0.9005186557769775,,,
81,2049,0.03503904119133949,,,,,
81,2049,,,,0.0401352196931839,0.0401352196931839,0.9058813452720642
81,2049,,0.04368528723716736,0.9048557877540588,,,
82,2074,,,,0.035505298525094986,0.035505298525094986,0.9167386889457703
82,2074,,0.04302094131708145,0.9063026905059814,,,
83,2099,0.03429460898041725,,,,,
83,2099,,,,0.03513624146580696,0.03513624146580696,0.9176041483879089
83,2099,,0.040609050542116165,0.9115557074546814,,,
84,2124,,,,0.03322220593690872,0.03322220593690872,0.922092616558075
84,2124,,0.038949545472860336,0.9151700139045715,,,
85,2149,0.05584077537059784,,,,,
85,2149,,,,0.030052484944462776,0.030052484944462776,0.9295257329940796
85,2149,,0.032254401594400406,0.9297516942024231,,,
86,2174,,,,0.030084148049354553,0.030084148049354553,0.9294514656066895
86,2174,,0.03093169629573822,0.9326324462890625,,,
87,2199,0.02158575877547264,,,,,
87,2199,,,,0.02551114372909069,0.02551114372909069,0.9401753544807434
87,2199,,0.02858872152864933,0.9377353191375732,,,
88,2224,,,,0.026272784918546677,0.026272784918546677,0.9383893013000488
88,2224,,0.028337309136986732,0.93828284740448,,,
89,2249,0.010778581723570824,,,,,
89,2249,,,,0.01948346197605133,0.01948346197605133,0.9543105363845825
89,2249,,0.024578943848609924,0.9464684128761292,,,
90,2274,,,,0.019355298951268196,0.019355298951268196,0.95461106300354
90,2274,,0.025473622605204582,0.9445198178291321,,,
91,2299,0.015786470845341682,,,,,
91,2299,,,,0.023280993103981018,0.023280993103981018,0.9454051852226257
91,2299,,0.02813565544784069,0.9387220740318298,,,
92,2324,,,,0.02589399181306362,0.02589399181306362,0.9392775893211365
92,2324,,0.029177309945225716,0.9364534020423889,,,
93,2349,0.01467621698975563,,,,,
93,2349,,,,0.02779088169336319,0.02779088169336319,0.9348292946815491
93,2349,,0.021890461444854736,0.9523237943649292,,,
94,2374,,,,0.015330896712839603,0.015330896712839603,0.964048445224762
94,2374,,0.019198503345251083,0.958186686038971,,,
95,2399,0.013180511072278023,,,,,
95,2399,,,,0.018115628510713577,0.018115628510713577,0.9575181603431702
95,2399,,0.017249317839741707,0.9624319076538086,,,
96,2424,,,,0.01544453389942646,0.01544453389942646,0.9637819528579712
96,2424,,0.01807921938598156,0.9606244564056396,,,
97,2449,0.012307417578995228,,,,,
97,2449,,,,0.01433472242206335,0.01433472242206335,0.9663845300674438
97,2449,,0.016239255666732788,0.9646317958831787,,,
98,2474,,,,0.015616918914020061,0.015616918914020061,0.9633777141571045
98,2474,,0.019204508513212204,0.9581736326217651,,,
99,2499,0.010117805562913418,,,,,
99,2499,,,,0.010940492153167725,0.010940492153167725,0.9743441343307495
99,2499,,0.014203211292624474,0.9690662026405334,,,
