cls_loss,epoch,step,val_acc
0.7730844020843506,0,49,
0.3822130560874939,0,99,
0.3677333891391754,0,149,
0.32072874903678894,0,199,
,0,234,0.9146000146865845
0.3837243616580963,1,249,
0.26481959223747253,1,299,
0.24603135883808136,1,349,
0.313912034034729,1,399,
0.20624850690364838,1,449,
,1,469,0.9332000017166138
0.23822231590747833,2,499,
0.1655227690935135,2,549,
0.20686562359333038,2,599,
0.2226599007844925,2,649,
0.15686747431755066,2,699,
,2,704,0.9442999958992004
0.15422038733959198,3,749,
0.15780054032802582,3,799,
0.16623012721538544,3,849,
0.107853963971138,3,899,
,3,939,0.9513999819755554
