cls_loss,epoch,step,val_acc
0.8405530452728271,0,49,
0.48461753129959106,0,99,
0.4214104115962982,0,149,
0.3486517071723938,0,199,
,0,234,0.9197999835014343
0.29605549573898315,1,249,
0.2690669596195221,1,299,
0.2525567412376404,1,349,
0.21347028017044067,1,399,
0.24344968795776367,1,449,
,1,469,0.9398999810218811
0.1678517460823059,2,499,
0.1573524922132492,2,549,
0.16605617105960846,2,599,
0.2177312821149826,2,649,
0.23025943338871002,2,699,
,2,704,0.9488000273704529
0.15121906995773315,3,749,
0.1691339612007141,3,799,
0.141280859708786,3,849,
0.17741639912128448,3,899,
,3,939,0.9562000036239624
