epoch,step,test_loss,train_acc,train_f1,train_loss,train_prec,train_rec
0,49,,,,0.4612675905227661,,
0,99,,,,0.36456671357154846,,
0,149,,,,0.25606703758239746,,
0,199,,,,0.30506300926208496,,
0,249,,,,0.33959490060806274,,
0,299,,,,0.173416867852211,,
0,349,,,,0.1314087063074112,,
0,399,,,,0.1915779709815979,,
0,449,,,,0.20297734439373016,,
1,499,,,,0.12689806520938873,,
1,549,,,,0.08305279910564423,,
1,599,,,,0.1700459122657776,,
1,649,,,,0.07328186929225922,,
1,699,,,,0.2020735889673233,,
1,749,,,,0.12299778312444687,,
1,799,,,,0.10401865839958191,,
1,849,,,,0.16570532321929932,,
1,899,,,,0.07624392211437225,,
2,949,,,,0.10477976500988007,,
2,999,,,,0.17430582642555237,,
2,1049,,,,0.16227218508720398,,
2,1099,,,,0.19670610129833221,,
2,1149,,,,0.13576091825962067,,
2,1199,,,,0.08170314878225327,,
2,1249,,,,0.07149291783571243,,
2,1299,,,,0.07518907636404037,,
2,1349,,,,0.05829579010605812,,
2,1399,,,,0.0870119035243988,,
3,1449,,,,0.09191622585058212,,
3,1499,,,,0.01749013364315033,,
3,1549,,,,0.03271929919719696,,
3,1599,,,,0.10283424705266953,,
3,1649,,,,0.06005050241947174,,
3,1699,,,,0.019983185455203056,,
3,1749,,,,0.11899461597204208,,
3,1799,,,,0.10225621610879898,,
3,1849,,,,0.04234961420297623,,
4,1899,,,,0.030754145234823227,,
4,1949,,,,0.056422483175992966,,
4,1999,,,,0.1656452715396881,,
4,2049,,,,0.06840136647224426,,
4,2099,,,,0.07044268399477005,,
4,2149,,,,0.026578476652503014,,
4,2199,,,,0.05428377538919449,,
4,2249,,,,0.0650373101234436,,
4,2299,,,,0.07054731994867325,,
5,2345,0.08041194081306458,0.9605333209037781,0.9605333209037781,,0.9605333209037781,0.9605333209037781
