epoch,step,train_loss
1,49,0.37332773208618164
3,99,0.3894391655921936
5,149,0.23265722393989563
7,199,0.16551053524017334
9,249,0.19697222113609314
11,299,0.19073672592639923
13,349,0.21247637271881104
15,399,0.23461058735847473
17,449,0.16811460256576538
19,499,0.209044948220253
21,549,0.15226814150810242
23,599,0.15705421566963196
25,649,0.1565176546573639
27,699,0.14027103781700134
29,749,0.08202151954174042
31,799,0.1490572690963745
33,849,0.12079335749149323
35,899,0.1072089821100235
37,949,0.1672290861606598
39,999,0.08562130481004715
41,1049,0.11219964921474457
43,1099,0.08302106708288193
45,1149,0.07467580586671829
47,1199,0.1636105626821518
49,1249,0.09846137464046478
51,1299,0.15161217749118805
53,1349,0.07937125861644745
55,1399,0.06966107338666916
57,1449,0.07315341383218765
59,1499,0.14110718667507172
61,1549,0.07669674605131149
63,1599,0.055905506014823914
65,1649,0.04945950582623482
67,1699,0.025015491992235184
69,1749,0.016295218840241432
71,1799,0.020235199481248856
73,1849,0.044353727251291275
75,1899,0.05437491834163666
77,1949,0.03144582360982895
79,1999,0.04501775652170181
81,2049,0.032331373542547226
83,2099,0.026686377823352814
85,2149,0.017970247194170952
87,2199,0.008869664743542671
89,2249,0.011861168779432774
91,2299,0.008085250854492188
93,2349,0.01385595090687275
95,2399,0.011946219950914383
97,2449,0.00662649143487215
99,2499,0.007365890312939882
