cls_loss,epoch,step
0.7886644005775452,0,49
0.4641142785549164,0,99
0.3591075837612152,0,149
0.3029709458351135,0,199
0.30133792757987976,1,249
0.22588162124156952,1,299
0.27428656816482544,1,349
0.23859024047851562,1,399
0.22774137556552887,1,449
0.21833592653274536,2,499
0.1930069923400879,2,549
0.20218169689178467,2,599
0.14688433706760406,2,649
0.24005252122879028,2,699
0.12530134618282318,3,749
0.15400581061840057,3,799
0.1374676376581192,3,849
0.12553147971630096,3,899
0.1417025774717331,4,949
0.11121202260255814,4,999
0.20029248297214508,4,1049
0.11699160933494568,4,1099
0.1591542512178421,4,1149
