cls_loss,epoch,step,val_acc
0.8101510405540466,0,49,
0.43141278624534607,0,99,
0.39366817474365234,0,149,
0.28718990087509155,0,199,
,0,234,0.9182999730110168
0.2647526264190674,1,249,
0.2774915397167206,1,299,
0.19562354683876038,1,349,
0.25086158514022827,1,399,
0.23196952044963837,1,449,
,1,469,0.9377999901771545
0.21728795766830444,2,499,
0.17802928388118744,2,549,
0.19708731770515442,2,599,
0.1610855907201767,2,649,
0.20657826960086823,2,699,
,2,704,0.9485999941825867
0.23355303704738617,3,749,
0.20902368426322937,3,799,
0.15434445440769196,3,849,
0.19769011437892914,3,899,
,3,939,0.9538999795913696
0.2048995941877365,4,949,
0.17169976234436035,4,999,
0.1976417601108551,4,1049,
0.14855661988258362,4,1099,
0.15407682955265045,4,1149,
,4,1174,0.9578999876976013
