ae_loss,epoch,step
0.06781692057847977,0,49
0.058284658938646317,0,99
0.04396875202655792,0,149
0.035288214683532715,0,199
0.03168719261884689,1,249
0.0282943956553936,1,299
0.02428199164569378,1,349
0.024278251454234123,1,399
0.021858222782611847,1,449
0.02056814171373844,2,499
0.02025563083589077,2,549
0.01767818257212639,2,599
0.0173941720277071,2,649
0.016451075673103333,2,699
0.01664762571454048,3,749
0.015054786577820778,3,799
0.013560464605689049,3,849
0.014842056669294834,3,899
0.01381573174148798,4,949
0.012644688598811626,4,999
0.011635664850473404,4,1049
0.012509719468653202,4,1099
0.012152647599577904,4,1149
