epoch,step,test_loss,train_loss
1,49,,0.10768474638462067
2,99,,0.04710008203983307
4,149,,0.027396224439144135
5,199,,0.12795989215373993
6,249,,0.035188570618629456
8,299,,0.31758373975753784
9,349,,0.04852297157049179
10,399,,0.06367801129817963
12,449,,0.04930645227432251
13,499,,0.034081485122442245
14,549,,0.04700648412108421
16,599,,0.029966827481985092
17,649,,0.046354956924915314
18,699,,0.04112263768911362
20,749,,0.010734177194535732
21,799,,0.012612499296665192
22,849,,0.01991862803697586
24,899,,0.01870693266391754
25,949,,0.018206430599093437
27,999,,0.023480532690882683
28,1049,,0.020735617727041245
29,1099,,0.012002251110970974
31,1149,,0.018457917496562004
32,1199,,0.007387037854641676
33,1249,,0.022065291181206703
35,1299,,0.03729543089866638
36,1349,,0.010965376161038876
37,1399,,0.01727365329861641
39,1449,,0.009105698205530643
40,1499,,0.01797006092965603
41,1549,,0.010986683890223503
43,1599,,0.007488777860999107
44,1649,,0.012056227773427963
45,1699,,0.013707258738577366
47,1749,,0.011823716573417187
48,1799,,0.013135763816535473
49,1849,,0.009866579435765743
51,1899,,0.006911508738994598
52,1949,,0.005126498639583588
54,1999,,0.019319012761116028
55,2049,,0.007729121018201113
56,2099,,0.00633441936224699
58,2149,,0.004093531984835863
59,2199,,0.004097752273082733
60,2249,,0.003412261139601469
62,2299,,0.0020525939762592316
63,2349,,0.005934013053774834
64,2399,,0.0015575094148516655
66,2449,,0.006938856095075607
67,2499,,0.004970950074493885
68,2549,,0.002736151684075594
70,2599,,0.005971740465611219
71,2649,,0.004456416703760624
72,2699,,0.007566882763057947
74,2749,,0.011426093988120556
75,2799,,0.0032502796966582537
77,2849,,0.004726514220237732
78,2899,,0.0024485464673489332
79,2949,,0.0045227836817502975
81,2999,,0.004173945169895887
82,3049,,0.0021052900701761246
83,3099,,0.005063556134700775
85,3149,,0.007542858831584454
86,3199,,0.0025811344385147095
87,3249,,0.0012926552444696426
89,3299,,0.002263086847960949
90,3349,,0.0015086738858371973
91,3399,,0.0019054333679378033
93,3449,,0.0016124285757541656
94,3499,,0.0039642974734306335
95,3549,,0.02112765610218048
97,3599,,0.009781376458704472
98,3649,,0.013158179819583893
99,3699,,0.005668307654559612
100,3700,0.1567523181438446,
