cls_loss,epoch,step,val_acc
0.7051198482513428,0,49,
0.403719961643219,0,99,
0.3200221061706543,0,149,
0.39659392833709717,0,199,
,0,234,0.913100004196167
0.30983084440231323,1,249,
0.3730880320072174,1,299,
0.26258692145347595,1,349,
0.23557059466838837,1,399,
0.33693283796310425,1,449,
,1,469,0.9340999722480774
0.263873815536499,2,499,
0.2309960275888443,2,549,
0.20205338299274445,2,599,
0.18466949462890625,2,649,
0.22545625269412994,2,699,
,2,704,0.944100022315979
0.1868477314710617,3,749,
0.10737304389476776,3,799,
0.21440570056438446,3,849,
0.18088091909885406,3,899,
,3,939,0.9488999843597412
0.18310590088367462,4,949,
0.20817464590072632,4,999,
0.1394822746515274,4,1049,
0.18003913760185242,4,1099,
0.14466515183448792,4,1149,
,4,1174,0.9535999894142151
0.15187117457389832,5,1199,
0.12964142858982086,5,1249,
0.08985868841409683,5,1299,
