epoch,step,test_acc,test_f1,test_loss,test_prec,test_rec,train_loss
0,49,,,,,,1.4131247997283936
0,99,,,,,,1.067713737487793
0,149,,,,,,1.1076290607452393
0,199,,,,,,0.9294582009315491
0,249,,,,,,0.8367922306060791
0,299,,,,,,0.8583402037620544
0,349,,,,,,0.7768130302429199
0,399,,,,,,0.6749608516693115
0,449,,,,,,0.9286200404167175
1,499,,,,,,0.8630787134170532
1,549,,,,,,0.7977592349052429
1,599,,,,,,1.0051180124282837
1,649,,,,,,0.8627946376800537
1,699,,,,,,0.8071165680885315
1,749,,,,,,0.6759330630302429
1,799,,,,,,0.9385737180709839
1,849,,,,,,0.8963052034378052
1,899,,,,,,0.8585560917854309
2,949,,,,,,0.7725390195846558
2,999,,,,,,0.7613657116889954
2,1049,,,,,,0.8093859553337097
2,1099,,,,,,0.6344963908195496
2,1149,,,,,,0.7303211092948914
2,1199,,,,,,0.6194593906402588
2,1249,,,,,,0.8085379600524902
2,1299,,,,,,0.7554506659507751
2,1349,,,,,,0.836392343044281
2,1399,,,,,,0.6402798295021057
3,1449,,,,,,0.8085821270942688
3,1499,,,,,,0.7996028661727905
3,1549,,,,,,0.7279980182647705
3,1599,,,,,,0.730861246585846
3,1649,,,,,,0.6578459143638611
3,1699,,,,,,0.6765851974487305
3,1749,,,,,,0.6940664649009705
3,1799,,,,,,0.7554580569267273
3,1849,,,,,,0.8073554635047913
4,1899,,,,,,0.666517972946167
4,1949,,,,,,0.7287573218345642
4,1999,,,,,,0.7378784418106079
4,2049,,,,,,0.5679417252540588
4,2099,,,,,,0.7014132142066956
4,2149,,,,,,0.7555176615715027
4,2199,,,,,,0.6705170273780823
4,2249,,,,,,0.7188081741333008
4,2299,,,,,,0.7675542235374451
5,2349,,,,,,0.7096421122550964
5,2399,,,,,,0.7295393943786621
5,2449,,,,,,0.6960194110870361
5,2499,,,,,,0.6566144227981567
5,2549,,,,,,0.6995658278465271
5,2599,,,,,,0.6426485776901245
5,2649,,,,,,0.5710474252700806
5,2699,,,,,,0.8879002332687378
5,2749,,,,,,0.750809907913208
5,2799,,,,,,0.7758797407150269
6,2849,,,,,,0.7852638363838196
6,2899,,,,,,0.6703970432281494
6,2949,,,,,,0.7290948033332825
6,2999,,,,,,0.6614776253700256
6,3049,,,,,,0.6139307022094727
6,3099,,,,,,0.664079487323761
6,3149,,,,,,0.6573494672775269
6,3199,,,,,,0.701152503490448
6,3249,,,,,,0.8245220184326172
7,3299,,,,,,0.6082363724708557
7,3349,,,,,,0.6263570785522461
7,3399,,,,,,0.8541626334190369
7,3449,,,,,,0.6868400573730469
7,3499,,,,,,0.6154319047927856
7,3549,,,,,,0.5244657397270203
7,3599,,,,,,0.607629120349884
7,3649,,,,,,0.605885922908783
7,3699,,,,,,0.6689762473106384
7,3749,,,,,,0.6276348233222961
8,3799,,,,,,0.6747642755508423
8,3849,,,,,,0.8684787154197693
8,3899,,,,,,0.7039344906806946
8,3949,,,,,,0.6487897038459778
8,3999,,,,,,0.6645634174346924
8,4049,,,,,,0.636863648891449
8,4099,,,,,,0.6226029992103577
8,4149,,,,,,0.6241044402122498
8,4199,,,,,,0.6146026253700256
9,4249,,,,,,0.7644004821777344
9,4299,,,,,,0.698394775390625
9,4349,,,,,,0.6998337507247925
9,4399,,,,,,0.591926634311676
9,4449,,,,,,0.758102536201477
9,4499,,,,,,0.6922816634178162
9,4549,,,,,,0.5709149241447449
9,4599,,,,,,0.660770058631897
9,4649,,,,,,0.6024400591850281
10,4690,0.7839000225067139,0.7839000225067139,0.7055922150611877,0.7839000225067139,0.7839000225067139,
