epoch,step,test_loss,test_mse,test_r2,train_loss,train_mse,train_r2
0,36,,,,,0.5025973916053772,0.4685642123222351
1,49,,,,0.11806122213602066,,
1,73,,,,,0.18839393556118011,0.8007962703704834
2,99,,,,0.07972355931997299,,
2,110,,,,,0.16785340011119843,0.8225153684616089
3,147,,,,,0.1442558318376541,0.8474669456481934
4,149,,,,0.05866549164056778,,
4,184,,,,,0.11855722218751907,0.8746401071548462
5,199,,,,0.030641546472907066,,
5,221,,,,,0.1095355674624443,0.884179413318634
6,249,,,,0.03208748251199722,,
6,258,,,,,0.09081171452999115,0.903977632522583
7,295,,,,,0.0858645960688591,0.9092085957527161
8,299,,,,0.03891483694314957,,
8,332,,,,,0.07614582777023315,0.9194850325584412
9,349,,,,0.039083559066057205,,
9,369,,,,,0.07090028375387192,0.9250315427780151
10,399,,,,0.16739849746227264,,
10,406,,,,,0.058155372738838196,0.9385077357292175
11,443,,,,,0.048002153635025024,0.9492435455322266
12,449,,,,0.01784561760723591,,
12,480,,,,,0.04555833339691162,0.9518275856971741
13,499,,,,0.022212456911802292,,
13,517,,,,,0.03978154808282852,0.9579358100891113
14,549,,,,0.026162950322031975,,
14,554,,,,,0.03890586644411087,0.958861768245697
15,591,,,,,0.035454753786325455,0.962510883808136
16,599,,,,0.024197405204176903,,
16,628,,,,,0.03850680962204933,0.959283709526062
17,649,,,,0.03561629727482796,,
17,665,,,,,0.0338585302233696,0.9641987085342407
18,699,,,,0.02509192004799843,,
18,702,,,,,0.02958858199417591,0.968713641166687
19,739,,,,,0.027052994817495346,0.9713947176933289
20,749,,,,0.03269987925887108,,
20,776,,,,,0.024503100663423538,0.9740909337997437
21,799,,,,0.04121682420372963,,
21,813,,,,,0.027095239609479904,0.9713500738143921
22,849,,,,0.017161400988698006,,
22,850,,,,,0.022774819284677505,0.9759184122085571
23,887,,,,,0.02310509793460369,0.9755691289901733
24,899,,,,0.03881646692752838,,
24,924,,,,,0.02090304158627987,0.977897584438324
25,949,,,,0.021268151700496674,,
25,961,,,,,0.023410653695464134,0.9752460718154907
26,998,,,,,0.021073978394269943,0.9777168035507202
27,999,,,,0.02412823587656021,,
27,1035,,,,,0.019281722605228424,0.9796119332313538
28,1049,,,,0.02396472543478012,,
28,1072,,,,,0.017491009086370468,0.9815053939819336
29,1099,,,,0.018487507477402687,,
29,1109,,,,,0.01738501526415348,0.9816174507141113
30,1146,,,,,0.01623995043337345,0.9828281998634338
31,1149,,,,0.01968083530664444,,
31,1183,,,,,0.01604679599404335,0.9830324649810791
32,1199,,,,0.012642412446439266,,
32,1220,,,,,0.016504483297467232,0.9825485348701477
33,1249,,,,0.01320931687951088,,
33,1257,,,,,0.013582881540060043,0.9856377243995667
34,1294,,,,,0.012713199481368065,0.9865573048591614
35,1299,,,,0.009573412127792835,,
35,1331,,,,,0.011504393070936203,0.9878355264663696
36,1349,,,,0.027580030262470245,,
36,1368,,,,,0.013803117908537388,0.9854048490524292
37,1399,,,,0.016021590679883957,,
37,1405,,,,,0.01469721831381321,0.9844594597816467
38,1442,,,,,0.019050022587180138,0.9798569083213806
39,1449,,,,0.02410409040749073,,
39,1479,,,,,0.013838962651789188,0.9853670001029968
40,1499,,,,0.012915093451738358,,
40,1516,,,,,0.01198886800557375,0.9873232245445251
41,1549,,,,0.01221204362809658,,
41,1553,,,,,0.009702143259346485,0.9897411465644836
42,1590,,,,,0.00905279815196991,0.9904277324676514
43,1599,,,,0.012004024349153042,,
43,1627,,,,,0.008644289337098598,0.9908596873283386
44,1649,,,,0.006781872361898422,,
44,1664,,,,,0.00919042993336916,0.9902822375297546
45,1699,,,,0.014838362112641335,,
